date,match_score,recovery_score,training_score,LBES,risk_level
2023-08-08,35.4069504102578,53.61814669142908,65.03152818991099,52.149471331546366,Caution
2023-08-09,36.67829410710503,51.91257148042363,63.189910979228486,51.28935709300975,Caution
2023-08-10,43.68333799717895,64.5778324139988,63.70919881305639,58.005462328623004,Acceptable
2023-08-11,30.597677458770036,46.88009701287751,63.32613973563528,47.75148609961048,High Risk
2023-08-12,25.991673908526064,39.80654985828906,63.11033180469383,43.81841075460183,High Risk
2023-09-07,36.446364956460286,50.67824855401484,64.95270771513354,51.40474418114002,Caution
2023-09-11,31.978623619591843,87.03557467084036,63.42392770434314,62.25441291719178,Optimal
2023-09-12,49.690742378474056,69.05995058571195,63.11033180469383,61.16682155018423,Optimal
2023-10-09,22.415216519686417,50.45316958873338,63.1899109792285,46.499643154692585,High Risk
2023-10-10,31.66682870110809,63.76006113372196,64.17655786350149,54.27786525936063,Caution
2023-10-11,36.924180738773984,54.882545449512,63.3160237388724,52.446753437566734,Caution
2023-10-12,43.82941910571048,55.27768444948928,63.11033180469383,54.584631420677226,Caution
2023-11-08,26.24652948134089,55.13921187783597,65.36071958456974,50.04893485624426,Caution
2023-11-09,36.08015992582814,61.39248557810625,63.189910979228486,54.4278867728156,Caution
2023-11-10,27.067973445355896,54.882545449512,64.17655786350149,49.79107819316149,High Risk
2023-11-11,31.02420249582535,51.40105603072329,63.3160237388724,49.45823866810609,High Risk
2023-12-08,28.550517825821625,46.6335570976415,65.36071958456974,47.763152186520415,High Risk
2023-12-09,33.35063883080782,59.35462505843544,63.189910979228486,52.895779262424725,Caution
2023-12-12,50.88318842875884,51.29274395560671,63.053007823037504,55.285969651153124,Acceptable
2024-01-02,47.56777368985871,43.929723848782096,65.10655516590235,52.43302976209716,Caution
2024-01-03,58.45938765690289,45.05423993695664,64.54343134610198,55.897001246141386,Acceptable
2024-01-04,31.178051122987817,57.3465972888061,64.41192338818452,51.968897573843066,Caution
2024-01-05,37.40144870660309,54.942961133591865,64.371459401133,52.98048179913462,Caution
2024-01-06,78.36880079838218,56.863103949128494,63.27218775289993,65.5579923352246,Optimal
2024-01-07,28.084335956183125,45.20059402353864,57.341360419995446,44.31498484209186,High Risk
2024-01-08,33.84885070902518,53.647963369409005,61.37487636003957,50.412649118014556,Caution
2024-01-11,42.81140377121034,45.0842623308848,63.93175074183977,50.999025706816695,Caution
2024-01-12,30.994180713503447,48.91684509451249,65.65034619188923,49.39677116429163,High Risk
2024-02-02,37.61904224537109,40.49607564541908,65.24817912058269,48.29620184171195,High Risk
2024-02-03,35.63234580205303,51.84691325284008,64.54343134610198,51.426324350245636,Caution
2024-02-05,30.43704703078462,36.88893543133904,64.371459401133,44.572252300600596,High Risk
2024-02-06,23.66271300054573,47.80957936752428,63.27218775289993,45.97743239231219,High Risk
2024-02-09,26.05161856508979,49.67673875823399,63.61028684470821,47.465944530556705,High Risk
2024-02-10,28.8948416225455,56.02121994363361,64.51533135509398,50.8562454413183,Caution
2024-02-11,31.086685258334004,57.45220199626669,63.93175074183977,51.81038903583746,Caution
2024-03-01,36.76164863626997,57.40423434980092,63.43404370110602,53.32189190869842,Caution
