date,training_score
2023-07-02,64.09959198813057
2023-07-03,64.09959198813057
2023-07-04,64.81824925816025
2023-07-05,65.09180267062315
2023-07-06,65.09180267062315
2023-07-07,65.09180267062315
2023-07-08,64.95270771513354
2023-07-09,64.95270771513354
2023-07-10,64.785793768546
2023-07-11,64.785793768546
2023-07-12,65.7826409495549
2023-07-13,65.7826409495549
2023-07-14,65.7826409495549
2023-07-15,63.47830118694363
2023-07-16,63.47830118694363
2023-07-17,62.80137240356084
2023-07-18,62.80137240356084
2023-07-19,62.80137240356084
2023-07-20,62.80137240356084
2023-07-21,62.7689169139466
2023-07-22,62.7689169139466
2023-07-23,62.7689169139466
2023-07-24,62.7689169139466
2023-07-25,62.977559347181014
2023-07-26,62.977559347181014
2023-07-27,62.977559347181014
2023-07-28,62.977559347181014
2023-07-29,63.90485905044511
2023-07-30,63.90485905044511
2023-07-31,63.90485905044511
2023-08-01,63.90485905044511
2023-08-02,63.90485905044511
2023-08-03,63.881676557863514
2023-08-04,64.90170623145401
2023-08-05,66.14892433234422
2023-08-06,66.14892433234422
2023-08-07,65.47199554896143
2023-08-08,65.03152818991099
2023-08-09,65.36071958456974
2023-08-10,65.36071958456974
2023-08-11,65.36071958456974
2023-08-12,65.36071958456974
2023-08-13,65.36071958456974
2023-08-14,64.92025222551929
2023-08-15,63.96513353115728
2023-08-16,63.96513353115728
2023-08-17,63.96513353115728
2023-08-18,63.946587537092
2023-08-19,64.14132047477746
2023-08-20,64.14132047477746
2023-08-21,65.95419139465876
2023-08-22,66.2787462908012
2023-08-23,66.2787462908012
2023-08-24,65.88928041543028
2023-08-25,65.88928041543028
2023-08-26,63.5719584569733
2023-08-27,63.5719584569733
2023-08-28,63.86869436201781
2023-08-29,63.86869436201781
2023-08-30,63.96513353115728
2023-08-31,64.02818991097924
2023-09-01,64.02818991097924
2023-09-02,64.02818991097924
2023-09-03,64.02818991097924
2023-09-04,62.763353115727
2023-09-05,62.763353115727
2023-09-06,62.763353115727014
2023-09-07,63.189910979228486
2023-09-08,63.189910979228486
2023-09-09,63.1899109792285
2023-09-10,63.1899109792285
2023-09-11,63.189910979228486
2023-09-12,63.189910979228486
2023-09-13,63.1899109792285
2023-09-14,63.189910979228486
2023-09-15,63.1899109792285
2023-09-16,63.189910979228486
2023-09-17,63.1899109792285
2023-09-18,63.126854599406535
2023-09-19,63.594213649851646
2023-09-20,63.59421364985163
2023-09-21,63.43471810089021
2023-09-22,63.36053412462909
2023-09-23,63.36053412462909
2023-09-24,63.36053412462909
2023-09-25,63.36053412462909
2023-09-26,63.36053412462909
2023-09-27,63.36053412462909
2023-09-28,63.36053412462909
2023-09-29,63.57937685459941
2023-09-30,63.57937685459941
2023-10-01,63.57937685459941
2023-10-02,63.57937685459941
2023-10-03,63.57937685459941
2023-10-04,64.03560830860535
2023-10-05,63.70919881305639
2023-10-06,63.70919881305639
2023-10-07,63.70919881305639
2023-10-08,63.70919881305639
2023-10-09,63.675816023738875
2023-10-10,64.17655786350149
2023-10-11,64.17655786350149
2023-10-12,64.16543026706232
2023-10-13,64.16543026706232
2023-10-14,64.16543026706232
2023-10-15,64.16543026706232
2023-10-16,64.16543026706232
2023-10-17,64.19948745616402
2023-10-18,64.04437550579983
2023-10-19,64.04437550579983
2023-10-20,64.17925546263827
2023-10-21,64.17925546263825
2023-10-22,64.17925546263825
2023-10-23,63.43741570002698
